
ng_id,gsp_id,gsp_name,region_name
191,191,CRAI_P,Craigiebuckler
192,192,CUMB,Cumbernauld
193,193,CUPA,Cupar
194,194,CURR,Currie
195,195,DEVM,Devol Moor
196,196,DEVO,Devonside
197,197,DEWP,Dewar Place
198,198,DOUN_P,Dounreay
199,199,DRUM,Drumchapel
200,200,DRCR,Drumcross
201,201,DUDH_P,Dudhope
202,202,DUNB,Dunbar
203,203,DUBE_P,Dunbeath
204,204,DUNF,Dunfermline
205,205,DUNO_P,Dunoon
206,206,DUGR_P,Dunvegan
207,207,DYCE_P,Dyce
208,208,EKIL,East Kilbride
209,209,EKIS,East Kilbride South
210,210,EERH,Easterhouse
211,211,ECCL,Eccles
212,212,ELDE,Elderslie
213,213,ELGI_P,Elgin
214,214,ERSK,Erskine
215,215,FASN_P,Fasnakyle
216,216,FIDD_P,Fiddes
217,217,FRAS_P,Fraserburgh
218,218,FAUG_P,Fort Augustus
219,219,FWIL_P,Fort William
220,220,GALA,Galashiels
221,221,GIFF,Giffnock
222,222,GLAG_P,Glenagnes
223,223,GLNI,Glenniston
224,224,GLLU,Glenluce
225,225,GLRO,Glenrothes
226,226,GORG,Gorgie
227,227,GOVA,Govan
228,228,GRUB_P,Grudie Bridge
229,229,HAGR,Haggs Road
230,230,HAWI,Hawick
231,231,HELE,Helensburgh
232,232,HUER,Hunterston Farm
233,233,INKE,Inverkeithing
234,234,INNE_P,Inverness
235,235,JOHN,Johnstone
236,236,KAIM,Kaimes
237,237,KEIT_P,Keith
238,238,KIIN_P,Killin
239,239,KIER,Killermont
240,240,KILS,Kilmarnock South
241,241,KILT,Kilmarnock Town
242,242,KILW,Kilwinning
243,243,KINL_P,Kinlochleven
244,244,KINT_P,Kintore
245,245,LAIR_P,Lairg
246,246,LEVE,Leven
247,247,LINM,Linnmill
248,248,LING,Livingston East
249,249,LUNA_P,Lunanhead
250,250,LYND_P,Lyndhurst
251,251,MAYB,Maybole
252,252,MILC_P,Milton of Craigie
253,253,NAIR_P,Nairn
254,254,NEAR,Newarthill
255,255,NETS,Newton Stewart
256,256,PAIS,Paisley
257,257,PART,Partick
258,258,PEHS_P,Peterhead Shell
259,259,PERS_P,Persley
260,260,PEHG_P,Peterhead Grange
261,261,PORA_P,Port Ann
262,262,PORD,Port Dundas
263,263,POOB,Portobello
264,264,RANN_P,Rannoch
265,265,RAVE,Ravenscraig
266,266,REDH,Redhouse
267,267,REDM_P,Redmoss
268,268,SHIN_P,Shin
269,269,SHRU,Shrubhill
270,270,SIGH,Sighthill
271,271,SLOY_P,Sloy
272,272,SPAV,Spango Valley
273,273,SFEG_P,St Fergus Gas Terminal
274,274,SFIL_P,St Fillans
275,275,SANX,St Andrews Cross
276,276,STHA,Strathaven
277,277,STLE,Strathleven
278,278,STRI_P,Strichen
279,279,TARL_P,Tarland
280,280,TAYN_P,Taynuilt
281,281,TELR,Telford Road
282,282,TONG,Tongland
283,283,TUMB_P,Tummel Bridge
284,284,WGEO,West George Street
285,285,WFIE,Westfield
286,286,WHHO,Whitehouse
287,287,WIOW_P,Willowdale
288,288,WOHI_P,Woodhill
289,,,
290,,,
291,,,
292,,,
293,,,
294,,,
295,,,
296,,,
297,,,
298,,,
299,,,
300,,,
301,289,BRLE_1,Bramley
302,289,BRLE_1,Bramley
303,289,BRLE_1,Bramley
304,290,NEWX_6,New Cross
305,290,NEWX_6,New Cross
306,291,CAPEA1,Capenhurst
307,291,CAPEA1,Capenhurst
308,292,BLYTH132,Blyth 132kV
309,292,BLYTH132,Blyth 132kV
310,293,PITS_3,Pitsmoor
311,293,PITS_3,Pitsmoor
312,294,SELL_1,Sellindge
313,294,SELL_1,Sellindge
314,295,CHSI_1,Chessington
315,295,CHSI_1,Chessington
